Country/City,Holiday,Typical Period,Duration,Impact: Crowds,Impact: Prices,Impact: Closures,Notes
Hong Kong,Chinese New Year,Late Jan - Mid Feb,3-7 days,Extreme,High (+50-100%),Many shops closed 1-3 days,Worst time for budget travel. Great for atmosphere.
Hong Kong,Golden Week (China),Oct 1-7,7 days,Very High,High (+30-50%),None,Mainland tourists flood in. Book everything early.
Hong Kong,Easter,Mar-Apr,4 days,Moderate,Moderate (+15-25%),None,Western tourists + local holidays.
Hong Kong,Christmas / NYE,Dec 20 - Jan 2,~12 days,High,High (+30-50%),None,City decorated. Shopping sales.
Hong Kong,Mid-Autumn Festival,Sep-Oct,1 day,Low,None,Minimal,"Lanterns, mooncakes. Tourist bonus not problem."
Hong Kong,Dragon Boat Festival,Jun,1 day,Low,None,Minimal,Races are worth seeing.
Vietnam / Da Nang,Tet (Lunar New Year),Late Jan - Mid Feb,7-9 days,Extreme,High (+50-100%),Almost everything closed 3-5 days,Locals travel home. Tourist services shut down. Not just crowds — no services.
Vietnam / Da Nang,Reunification Day + Labour Day,Apr 30 - May 1,2 days,High,Moderate,Government offices,Domestic tourism spike.
Vietnam / Da Nang,National Day,Sep 2,1 day,Low,None,Government offices,Low season anyway.
Vietnam / Da Nang,Da Nang Fireworks Festival,Jun-Jul (varies),4-5 weekends,Very High,High,None,International event. Hotels book out. Check dates yearly.